genus	num	p	r
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Planococcaceae|g_Paenisporosarcina	69	0.000345875483196107	-0.719819531912491
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Planococcaceae|g_Rummeliibacillus	83	0.0190354217552402	-0.518992138996467
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Planococcaceae|g_Sporosarcina	431	0.0260514647072489	-0.496240601503759
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Staphylococcaceae|g_Auricoccus	45	0.00219936644726783	-0.643609022556391
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Staphylococcaceae|g_Macrococcus	125	0.0100863724248034	-0.560902255639098
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|g_Gemella	379	0.0139705352569596	-0.540052689564439
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Carnobacteriaceae|g_Carnobacterium	308	0.0140135553045835	-0.53984962406015
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Carnobacteriaceae|g_Jeotgalibaca	205	0.0138121130851745	-0.540804852084724
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Tetragenococcus	235	0.000621187275134978	-0.698006818824234
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Vagococcus	235	0.00321099958612553	-0.625047054356614
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Pediococcus	164	0.00575424753958648	-0.593984962406015
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Leuconostocaceae|g_Leuconostoc	384	0.00969166202631876	-0.563369727693266
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Leuconostocaceae|g_Weissella	174	0.0047531008240938	-0.604511278195489
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Clostridiaceae|g_Caloranaerobacter	222	0.0342272511450713	-0.475187969924812
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Clostridiaceae|g_Clostridium	17772	0.0167591268829289	-0.52781954887218
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Clostridiales Family XVI. Incertae Sedis|g_Carboxydocella	100	0.0127432368812832	-0.546069989726717
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Heliobacteriaceae|g_Heliobacterium	271	0.0323260692002141	-0.479699248120301
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Hungateiclostridiaceae|g_Pseudoclostridium	379	0.0495598643107734	-0.444528049488278
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Cellulosilyticum	707	0.00181360977604473	-0.652631578947368
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptococcaceae|g_Candidatus Desulforudis	50	0.0124901903696035	-0.547368421052632
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptococcaceae|g_Dehalobacter	557	0.0156831251356959	-0.532330827067669
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptococcaceae|g_Dehalobacterium	195	0.0202356798411108	-0.514672831927496
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptococcaceae|g_Thermincola	123	0.00138879478487591	-0.664661654135338
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptostreptococcaceae|g_Paeniclostridium	185	0.0211638433056039	-0.51147051379362
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptostreptococcaceae|g_Peptacetobacter	258	0.0108417532450569	-0.556390977443609
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptostreptococcaceae|g_Romboutsia	433	0.0051629256736768	-0.6
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ethanoligenens	716	0.0276582275130461	-0.491729323308271
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcus	5270	0.0475317357506642	-0.44812030075188
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Syntrophomonadaceae|g_Syntrophomonas	42	0.00460309512088757	-0.606242991349496
d_Bacteria|p_Firmicutes|c_Clostridia|o_Thermoanaerobacterales|f_Thermoanaerobacteraceae|g_Ammonifex	62	0.00405369249566471	-0.613012454032059
d_Bacteria|p_Firmicutes|c_Clostridia|o_Thermoanaerobacterales|f_Thermoanaerobacteraceae|g_Caldanaerobacter	98	0.00234227085848257	-0.640601503759399
d_Bacteria|p_Firmicutes|c_Clostridia|o_Thermoanaerobacterales|f_Thermoanaerobacteraceae|g_Carboxydothermus	80	0.0196551605547467	-0.516735651435613
d_Bacteria|p_Firmicutes|c_Clostridia|o_Thermoanaerobacterales|f_Thermoanaerobacterales Family III. Incertae Sedis|g_Thermoanaerobacterium	648	0.0216689666215354	-0.509774436090226
d_Bacteria|p_Firmicutes|c_Clostridia|o_Thermoanaerobacterales|f_Thermoanaerobacterales Family III. Incertae Sedis|g_Thermosediminibacter	126	0.0192402438732347	-0.518239976476182
